Item,Division
Drywall Material  Install,FINISHES
Hardtile Floring  Joplin,FINISHES
Solid Surface Material,FINISHES
Fiberglass Resnous Paneling (FRP),FINISHES
Tile  Hotel,FINISHES
Clubhouse,FINISHES
Wall Panels and Cladding,FINISHES
Hard Tile,FINISHES
Finish Labor,FINISHES
#18  Carpet  Base at partial 3rd flr,FINISHES
Flooring & Base,FINISHES
Epoxy Flooring ,FINISHES
Paint  Interior & Exterior  Mat & Labor,FINISHES
LEASING OFFICE  CLUBHOUSE  FLOORING,FINISHES
Countertops,FINISHES
Balcony Tile System,FINISHES
Amenity Countertops,FINISHES
Specialty Finish Flooring,FINISHES
 FLOORING,FINISHES
Note: Allowance amount shown as $113925 in Exhibit C,FINISHES
CLUB  Cabinets,FINISHES
Wall Coverings  Allowance (noted as $16524 in Exhibit K),FINISHES
Media Room and AV Room carpet,FINISHES
CLUB  Stained Concrete,FINISHES
Metal Framing Drywall,FINISHES
Concrete Sealer (at corridor floors),FINISHES
Flooring  Phase 2  Allowance,FINISHES
Countertops & Vanities ,FINISHES
Office  Countertops,FINISHES
Alternate  Paint Interior Walls White,FINISHES
 WALL TILE  WALLCOVERINGS,FINISHES
CLUB  Granite Countertops,FINISHES
Drywall Level 5 Finish,FINISHES
Drywall System,FINISHES
Sealed Concrete  1st Floor Corridors,FINISHES
Painting  Allowance,FINISHES
Carpet  Clubhouse,FINISHES
SPECIAL FLOORING,FINISHES
 TUB & SHOWER TILE SURROUND,FINISHES
Amenity Countertops (Quartz),FINISHES
Tile  Allowances,FINISHES
Light Gauge Metal Framing,FINISHES
Countertops and Hard Wall Coverings,FINISHES
Floor and Wall Tile Allowance,FINISHES
Drywall and Metal Studs,FINISHES
Drywall & Acoustical,FINISHES
Tile  Allowance,FINISHES
Drywall  Ceramic Acoustic Panels @ Garage Ceiling,FINISHES
Leasing Office  Clubhouse,FINISHES
Carpet & Resilient Flooring  Commercial Building,FINISHES
 COUNTERTOPS,FINISHES
Concrete Sealer  Grind  Polish,FINISHES
Gypsum Veneer Plastering,FINISHES
Floor Seal,FINISHES
Drywall  Framing  Acoustical,FINISHES
Acoustical Ceiling,FINISHES
Millwork & Finish Carpentry,FINISHES
Finishes,FINISHES
Garage Floor Coating,FINISHES
REDRHINO  Epoxy Coating,FINISHES
Gypsum Board  Drywall,FINISHES
Amenity Flooring,FINISHES
Kitchen Backsplashes,FINISHES
Wood  Vinyl Flooring,FINISHES
Framing & Drywall,FINISHES
Drywall  Allowance,FINISHES
Finish Allowances,FINISHES
Hardtile Flooring  Campbell,FINISHES
Stucco (moved to Division 7),FINISHES
FINISHES  POOL AREA #2,FINISHES
Wood Floors,FINISHES
Prepprime and paint,FINISHES
Carpet (in upper level bedrooms and attached closets),FINISHES
Amenity Countertops (3 cm Quartz & Solid surface),FINISHES
LEASING OFFICE  CLUBHOUSE  DRYWALL,FINISHES
Concrete Finish,FINISHES
Solid Surface Countertops,FINISHES
Tub  Shower  Tile Surrounds,FINISHES
Acoustical Ceiling Tile,FINISHES
Granite Tops  Vanities (2cm Luna Pearl granite),FINISHES
Flooring  Allowance,FINISHES
Metal Panels,FINISHES
Unit Bath Wall Tile,FINISHES
Exterior Finish,FINISHES
ThinSet Tile,FINISHES
Tile Material & Labor,FINISHES
Floor and Wall Tile,FINISHES
CLUB  Painting,FINISHES
Drywall & ACT,FINISHES
APT  Ceramic Tile (M&L),FINISHES
 Fitness Ceiling  Allowance,FINISHES
 CARPET,FINISHES
Drywall  Turnkey,FINISHES
Carpet & Resilient Flooring,FINISHES
Kitchen  Bath Countertops  Material  Labor (Quartz),FINISHES
Caulking,FINISHES
PreCast Fireplace Surrounds  Clubhouse,FINISHES
Resilient Flooring  Allowance,FINISHES
Painting  Interior & Exterior,FINISHES
CLUB  Drywall,FINISHES
Add Drainage & Weeps to SVP Finish Panels,FINISHES
Metal Stud  Drywall System,FINISHES
Deborah Walker Associates,FINISHES
EXT PAINT,FINISHES
REDRHINO  Chemical Resistant Urethane Topcoat,FINISHES
Epoxy Floors,FINISHES
TI  ALLOWANCE,FINISHES
Drywall & Wallcoverings,FINISHES
Clubhouse Granite Countertops,FINISHES
Granite Material & Labor,FINISHES
Countertops Turnkey,FINISHES
Terrazzo,FINISHES
Wallpaper ,FINISHES
CDCC Comps,FINISHES
Gypsum Board Assembilies & Finish,FINISHES
Garage Connection  Allowance,FINISHES
Rubber base,FINISHES
Drywall Framing (nonstructural metal studs),FINISHES
Countertops  Allowance,FINISHES
Kitchen  Bath Cabinets  Material  Labor,FINISHES
CLUB  Vinyl Siding Shutters Columns and Gutters,FINISHES
Ceramic Tile  Showers,FINISHES
ACT,FINISHES
GWB Partitions and ceilings,FINISHES
 VINYL,FINISHES
Cutting and Patching  Allowance,FINISHES
Metal Framing Drywall  Phase 2  Allowance,FINISHES
Resilient Flooring,FINISHES
FINISHES  POOL AREA #1,FINISHES
Plaster,FINISHES
Stained Concrete Floors,FINISHES
Exterior Art Wall  Allowance,FINISHES
Corridor Carpet  2nd and 3rd Floors  Allowance,FINISHES
Metal Ceilings,FINISHES
Drywall  GWB,FINISHES
Kitchen  Bath Countertops  Material  Labor,FINISHES
Sheetrock  TFT,FINISHES
APT  Mirrors,FINISHES
 Wall & Ceiling Assemblies  CF Framing Ext Sheathing Insulation & Door Install,FINISHES
Polished Concrete Floors,FINISHES
FRAMING  DRYWALL,FINISHES
Interior Painting (including underside of roof deck and all framing),FINISHES
Wood Flooring Allowance,FINISHES
Acoustical Ceiling Tile Mat & Install,FINISHES
Finish Materials,FINISHES
Omit All Traffic Coating Requirements in Garage,FINISHES
Painting and Staining,FINISHES
Flooring,FINISHES
Drywall  Office,FINISHES
Tub  Shower Tile Surrounds,FINISHES
Office  Suspended Ceiling,FINISHES
Shell Painting,FINISHES
Plaster  Allowance,FINISHES
Acoustical Ceilings,FINISHES
 DRYWALL,FINISHES
Interior Trim  Labor,FINISHES
Tub & Shower Tile Surround,FINISHES
Carpet & Resilient Flooring  Hotel,FINISHES
Tile Installation  Allowance,FINISHES
Residential Painting,FINISHES
Stair Trim,FINISHES
Painting Material  Campbell,FINISHES
Club Drywall,FINISHES
Quartz Vanity tops (9 x 24 wide) 4ea,FINISHES
Drywall and Framing,FINISHES
Fabricate and install countertops (Allowance),FINISHES
Drywall Finish,FINISHES
Cabinets Allowance,FINISHES
BACKSPLASH,FINISHES
EIFS,FINISHES
LEASING OFFICE  CLUBHOUSE  COUNTERTOPS,FINISHES
Fire Rock  Chimneys,FINISHES
 Paint  Stain T&G Soffit Paint Facia HM DoorsFrames & TF Riser Rm,FINISHES
Interior Trim  Materials,FINISHES
EIFS  Stucco,FINISHES
Clubhouse Cabinets,FINISHES
Granite Countertops,FINISHES
Cabinets  Countertops,FINISHES
#11  Drywall (Tape  Float  Texture),FINISHES
Vinyl Flooring (kitchen living rooms bathroom closets),FINISHES
Drywall  Framing  Fire Pump Room,FINISHES
Stone Counters,FINISHES
Office  Insulation  Drywall,FINISHES
Exterior Painting,FINISHES
Tile Flooring,FINISHES
Millwork & Countertops,FINISHES
#13  Interior Paint,FINISHES
Exterior Drywall,FINISHES
Drywall & Wall Coverings ,FINISHES
Sealed Concrete  1st Floor Units,FINISHES
Tile Material  Allowance,FINISHES
Res Tek Flooring  Campbell,FINISHES
Tile  Labor,FINISHES
Drywall Systems,FINISHES
Includes Allowance of $30600 for carpet or VCT,FINISHES
Skim coat and paint warehouse walls,FINISHES
MarbleStoneTile,FINISHES
Specialty Finishes  Amenity,FINISHES
CLUB  Mirrors,FINISHES
Drywall Metal Stud Framing Sheathing Insulation,FINISHES
Exterior Texture Coatings,FINISHES
Exterior Finishes  PacClad Material & Install,FINISHES
REDRHINO  4 Base,FINISHES
Flooring  Hardwood,FINISHES
Interior and Exterior Painting,FINISHES
Flooring Material & Labor,FINISHES
 MillworkCasework,FINISHES
Drywall & Texture ‐ Material  Labor,FINISHES
Carpeting ,FINISHES
Framing Materials,FINISHES
Granite Tops  Kitchens (3cm Luna Pearl granite),FINISHES
Wood  Vinyl Plank Flooring,FINISHES
KITCHEN COUNTERTOPS,FINISHES
LEASING OFFICE  CLUBHOUSE  WALL TILE  WALLCOVERINGS,FINISHES
Specialty Flooring,FINISHES
Wood Floors  Allowance,FINISHES
Painting  Exterior,FINISHES
Concrete Sealer,FINISHES
APT  Painting,FINISHES
Shell Drywall  Framing,FINISHES
Office  Paint,FINISHES
Drywall & Acoustical Systems,FINISHES
Exterior Painting (Fascia and Soffit),FINISHES
Drywall & Texture  Material  Labor,FINISHES
Floor Protection,FINISHES
Interior Construction,FINISHES
Paint  Interior,FINISHES
Finish Protection  Allowance,FINISHES
Interior Paint  Office,FINISHES
Tub and Shower Tile Surrounds,FINISHES
Wallpaper Material & Labor,FINISHES
CONCRETE FINISHES,FINISHES
Hardwood  Turnkey  Allowance,FINISHES
Corridor Flooring (18 x 36 tile),FINISHES
Tile Material,FINISHES
Wood  VinylPlank Flooring,FINISHES
Wood Floors & Stairs Supply & Install,FINISHES
APT  Cabinets,FINISHES
Drywall and Acoustical Ceilings,FINISHES
 BACKSPLASH,FINISHES
Includes Allowance of $20000 for 2 overhead doors w electric lift,FINISHES
Specialty Finishes (Wall coverings and brick at interior leasing),FINISHES
Tile Labor,FINISHES
Fluted fabric panel at Entry (Allowance),FINISHES
Interior Paint  TiltWall and Columns,FINISHES
Paint,FINISHES
Ceilings,FINISHES
Corridors,FINISHES
Cabinet Tops,FINISHES
Specialty Finishes (wall coverings & steel windows in leasing office),FINISHES
FRP,FINISHES
Kitchen  Bath Countertops ‐ Material  Labor,FINISHES
Painting  Interior,FINISHES
Tile,FINISHES
